Designator,Footprint,Quantity,Value,LCSC Part #
BT1,PinHeader_1x02_P2.54mm_Vertical,1,Battery_Cell,
"C1, C16",0402,2,10uF,
"C10, C9",0603,2,18pF,
"C11, C15, C2, C3, C4, C8",0402,6,0.1uF,
"C12, C6, C7",0805,3,1uF,
"C13, C14",0603,2,4.7uF,
C5,0603,1,10nF,
"D1, D2",0805,2,LED,
D3,0603,1,LED,
F1,CP_EIA-3528-12_Kemet-T,1,22uF,
J1,SAMESKY_UJ20-C-H-G-SMT-1-P16-TR,1,USB-C,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J4,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03_Pin,
L1,0603,1,120R,
LS1,SPKR_PKM22EPPH4001-B0,1,PKM22EPPH4001-B0,
"Q1, Q2",SOT-23,2,BSS806N,
R1,0603,1,39,
"R10, R11",0402,2,1k,
R12,0603,1,49.9K,
R13,0402,1,200k,
R14,0402,1,1.13K,
"R15, R16",POT_P120PK-x25_TTE,2,P120PK,
"R17, R18, R19, R6",0402,4,10k,
"R2, R3",0402,2,5.1k,
"R20, R21",1206,2,5M,
"R4, R5",0402,2,22,
R7,0603,1,2.2k,
R8,0603,1,330,
R9,0402,1,1.18k,
"S1, S2",SW_200MSP1T2B4M2QE,2,200MSP1T2B4M2QE,
U1,UFQFPN-48_7X7X0P55MM,1,STM32F103CBU6,
U2,SON50P150X150X80-6N,1,BQ29700DSER,
"U3, U4",XDCR_COM-09032,2,Joy_Stick,
U5,SOT-23-6,1,USBLC6-2SC6,
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,
U7,QFN50P300X300X100-17N,1,BQ24072TRGTR,
Y1,XTAL_ECS-240-8-33-AGN-TR,1,ECS-80-12-33-JGN-TR,
