Designator,Mid X,Mid Y,Rotation,Layer
BT1,191.285,-98.97,90.0,top
C1,183.2975,-107.78,180.0,top
C10,193.82,-87.81,270.0,top
C11,190.25,-104.73,0.0,top
C12,195.47,-108.8,90.0,top
C13,185.025,-110.06,180.0,top
C14,193.965,-104.83,0.0,top
C15,191.88,-91.79,0.0,top
C16,204.59,-83.68,180.0,top
C2,196.85,-85.19,0.0,top
C3,202.58,-94.88,0.0,top
C4,205.06,-87.24,90.0,top
C5,195.31,-92.64,270.0,top
C6,192.885,-94.22,270.0,top
C7,187.645,-94.22,270.0,top
C8,195.26,-86.78,270.0,top
C9,193.82,-90.92,90.0,top
D1,179.22,-92.16,0.0,top
D2,187.04,-113.63,90.0,top
D3,189.24,-113.89,90.0,top
F1,179.94,-95.97,0.0,top
J1,201.08,-120.66,0.0,top
J2,153.86,-75.61,90.0,top
J3,233.16,-75.85,90.0,top
J4,166.66,-75.85,90.0,top
L1,190.245,-93.31,180.0,top
LS1,219.73,-92.57,0.0,top
Q1,197.7425,-100.765,270.0,top
Q2,196.2025,-97.79,90.0,top
R1,176.07,-92.91,90.0,top
R10,189.8,-111.73,0.0,top
R11,187.52,-111.25,0.0,top
R12,187.8,-108.405,270.0,top
R13,188.07,-105.565,270.0,top
R14,195.48,-106.39,0.0,top
R15,190.60425,-71.3813,0.0,top
R16,206.24,-71.0536,0.0,top
R17,243.94,-86.21,180.0,top
R18,148.89,-84.69,0.0,top
R19,186.35,-91.87,180.0,top
R2,199.84,-111.09,90.0,top
R20,186.75,-100.715,270.0,top
R21,197.8625,-104.2075,180.0,top
R3,202.8,-111.08,90.0,top
R4,205.6,-97.63,90.0,top
R5,206.6,-97.6,90.0,top
R6,199.4,-84.22,90.0,top
R7,186.32,-104.98,90.0,top
R8,193.9,-102.99,0.0,top
R9,192.62,-111.67,270.0,top
S1,177.2975,-74.9,0.0,top
S2,220.0,-74.9,0.0,top
U1,200.15,-90.0556,0.0,top
U2,189.66,-102.98,180.0,top
U3,246.807,-100.73,0.0,top
U4,149.857,-100.73,0.0,top
U5,203.19,-104.3975,270.0,top
U6,181.5075,-102.62,270.0,top
U7,191.89,-108.535,270.0,top
Y1,190.78,-89.52,180.0,top
